Run,ALL,Rank_ALL,ALLnrm,Rank_ALLnrm,Mean,Rank_Mean,MSRpar,MSRvid,SMT-eur,On-WN,SMT-news
davide_buscaldi/task6-IRIT-pg1,0.4280,76,0.7379,65,0.5009,63,0.4295,0.6125,0.4952,0.5387,0.3614
davide_buscaldi/task6-IRIT-pg3,0.4813,68,0.7569,61,0.5202,58,0.4171,0.6728,0.5179,0.5526,0.3693
davide_buscaldi/task6-IRIT-wu,0.4064,81,0.7287,69,0.4898,65,0.4326,0.5833,0.4856,0.5317,0.3480
demetrios_glinos/task6-ATA-BASE,0.3454,83,0.6990,81,0.2772,87,0.1684,0.6256,0.2244,0.1648,0.0988
demetrios_glinos/task6-ATA-CHNK,0.4976,64,0.7160,73,0.3215,86,0.2312,0.6595,0.1504,0.2735,0.1426
demetrios_glinos/task6-ATA-STAT,0.4165,79,0.7129,75,0.3312,85,0.1887,0.6482,0.2769,0.2950,0.1336
desouza/task6-FBK-run1,0.5633,54,0.7127,76,0.3628,82,0.2494,0.6117,0.1495,0.4212,0.2439
desouza/task6-FBK-run2,0.6438,35,0.8080,29,0.5888,32,0.5128,0.7807,0.3796,0.6228,0.5474
desouza/task6-FBK-run3,0.6517,32,0.8106,25,0.6077,20,0.5169,0.7773,0.4419,0.6298,0.6085
dvilarinoayala/task6-BUAP-RUN-1,0.4997,63,0.7568,62,0.5260,56,0.4037,0.6532,0.4521,0.6050,0.4537
dvilarinoayala/task6-BUAP-RUN-2,-0.0260,89,0.5933,89,0.1016,89,0.1109,0.0057,0.0348,0.1788,0.1964
dvilarinoayala/task6-BUAP-RUN-3,0.6630,25,0.7474,64,0.5105,59,0.4018,0.6378,0.4758,0.5691,0.4057
enrique/task6-UNED-H34measures,0.4381,75,0.7518,63,0.5577,48,0.5328,0.5788,0.4785,0.6692,0.4465
enrique/task6-UNED-HallMeasures,0.2791,88,0.6694,87,0.4286,72,0.3861,0.2570,0.4086,0.6006,0.5305
enrique/task6-UNED-SP_INIST,0.4680,69,0.7625,60,0.5615,47,0.5166,0.6303,0.4625,0.6442,0.4753
georgiana_dinu/task6-SAARLAND-ALIGN_VSSIM,0.4952,65,0.7871,50,0.5065,60,0.4043,0.7718,0.2686,0.5721,0.3505
georgiana_dinu/task6-SAARLAND-MIXT_VSSIM,0.4548,71,0.8258,13,0.5662,43,0.6310,0.8312,0.1391,0.5966,0.3806
jan_snajder/task6-takelab-simple,0.8133,3,0.8635,1,0.6753,2,0.7343,0.8803,0.4771,0.6797,0.3989
jan_snajder/task6-takelab-syntax,0.8138,2,0.8569,3,0.6601,5,0.6985,0.8620,0.3612,0.7049,0.4683
janardhan/task6-janardhan-UNL_matching,0.3431,84,0.6878,84,0.3481,83,0.1936,0.5504,0.3755,0.2888,0.3387
jhasneha/task6-Penn-ELReg,0.6622,27,0.8048,34,0.5654,44,0.5480,0.7844,0.3513,0.6040,0.3607
jhasneha/task6-Penn-ERReg,0.6573,28,0.8083,28,0.5755,37,0.5610,0.7857,0.3568,0.6214,0.3732
jhasneha/task6-Penn-LReg,0.6497,33,0.8043,36,0.5699,41,0.5460,0.7818,0.3547,0.5969,0.4137
jotacastillo/task6-SAGAN-RUN1,0.5522,57,0.7904,47,0.5906,29,0.5659,0.7113,0.4739,0.6542,0.4253
jotacastillo/task6-SAGAN-RUN2,0.6272,42,0.8032,37,0.5838,34,0.5538,0.7706,0.4480,0.6135,0.3894
jotacastillo/task6-SAGAN-RUN3,0.6311,39,0.7943,45,0.5649,46,0.5394,0.7560,0.4181,0.5904,0.3746
Konstantin_Z/task6-ABBYY-General,0.5636,53,0.8052,33,0.5759,36,0.4797,0.7821,0.4576,0.6488,0.3682
M_Rios/task6-UOW-LEX_PARA,0.6397,36,0.7187,71,0.3825,80,0.3628,0.6426,0.3074,0.2806,0.2082
M_Rios/task6-UOW-LEX_PARA_SEM,0.5981,49,0.6955,82,0.3473,84,0.3529,0.5724,0.3066,0.2643,0.1164
M_Rios/task6-UOW-SEM,0.5361,59,0.6287,88,0.2567,88,0.2995,0.2910,0.1611,0.2571,0.2212
mheilman/task6-ETS-PERP,0.7808,7,0.8064,32,0.6305,11,0.6211,0.7210,0.4722,0.7080,0.5149
mheilman/task6-ETS-PERPphrases,0.7834,6,0.8089,27,0.6399,7,0.6397,0.7200,0.4850,0.7124,0.5312
mheilman/task6-ETS-TERp,0.4477,73,0.7291,68,0.5253,57,0.5049,0.5217,0.4748,0.6169,0.4566
nitish_aggarwal/task6-aggarwal-run1?,0.5777,52,0.8158,20,0.5466,52,0.3675,0.8427,0.3534,0.6030,0.4430
nitish_aggarwal/task6-aggarwal-run2?,0.5833,51,0.8183,17,0.5683,42,0.3720,0.8330,0.4238,0.6513,0.4499
nitish_aggarwal/task6-aggarwal-run3,0.4911,67,0.7696,57,0.5377,53,0.5320,0.6874,0.4514,0.5827,0.2818
nmalandrakis/task6-DeepPurple-DeepPurple_hierarchical,0.6228,43,0.8100,26,0.5979,23,0.5984,0.7717,0.4292,0.6480,0.3702
nmalandrakis/task6-DeepPurple-DeepPurple_sigmoid,0.5540,56,0.7997,41,0.5558,50,0.5960,0.7616,0.2628,0.6016,0.3446
nmalandrakis/task6-DeepPurple-DeepPurple_single,0.4918,66,0.7646,58,0.5061,61,0.4989,0.7092,0.4437,0.4879,0.2441
parthapakray/task6-JU_CSE_NLP-Semantic_Syntactic_Approach∗,0.3880,82,0.6706,86,0.4111,76,0.3427,0.3549,0.4271,0.5298,0.4034
rada/task6-UNT-CombinedRegression,0.7418,14,0.8406,7,0.6159,14,0.5032,0.8695,0.4797,0.6715,0.4033
rada/task6-UNT-IndividualDecTree,0.7677,9,0.8389,9,0.5947,25,0.5693,0.8688,0.4203,0.6491,0.2256
rada/task6-UNT-IndividualRegression,0.7846,5,0.8440,6,0.6162,13,0.5353,0.8750,0.4203,0.6715,0.4033
sbdlrhmn/task6-sbdlrhmn-Run1,0.6663,23,0.7842,53,0.5376,54,0.5440,0.7335,0.3830,0.5860,0.2445
sbdlrhmn/task6-sbdlrhmn-Run2,0.4169,78,0.7104,77,0.4986,64,0.4617,0.4489,0.4719,0.6353,0.4353
sgjimenezv/task6-SOFT-CARDINALITY,0.7331,15,0.8526,5,0.6708,3,0.6405,0.8562,0.5152,0.7109,0.4833
sgjimenezv/task6-SOFT-CARDINALITY-ONE-FUNCTION,0.7107,19,0.8397,8,0.6486,6,0.6316,0.8237,0.4320,0.7109,0.4833
siva/task6-DSS-alignheuristic,0.5253,60,0.7962,42,0.6030,21,0.5735,0.7123,0.4781,0.6984,0.4177
siva/task6-DSS-average,0.5490,58,0.8047,35,0.5943,26,0.5020,0.7645,0.4875,0.6677,0.4324
siva/task6-DSS-wordsim,0.5130,61,0.7895,49,0.5287,55,0.3765,0.7761,0.4161,0.5728,0.3964
skamler_/task6-EHU-RUN1v2?,0.3129,86,0.6935,83,0.3889,79,0.3605,0.5187,0.2259,0.4098,0.3465
sokolov/task6-LIMSI-cosprod,0.6392,37,0.7344,67,0.3940,78,0.3948,0.6597,0.0143,0.4157,0.2889
sokolov/task6-LIMSI-gradtree,0.6789,22,0.7377,66,0.4118,75,0.4848,0.6636,0.0934,0.3706,0.2455
sokolov/task6-LIMSI-sumdiff,0.6196,45,0.7101,78,0.4131,74,0.4295,0.5724,0.2842,0.3989,0.2575
spirin2/task6-UIUC-MLNLP-Blend,0.4592,70,0.7800,56,0.5782,35,0.6523,0.6691,0.3566,0.6117,0.4603
spirin2/task6-UIUC-MLNLP-CCM,0.7269,16,0.8217,16,0.6104,17,0.5769,0.8203,0.4667,0.5835,0.4945
spirin2/task6-UIUC-MLNLP-Puzzle,0.3216,85,0.7857,51,0.4376,69,0.5635,0.8056,0.0630,0.2774,0.2409
sranjans/task6-sranjans-1,0.6529,30,0.8018,39,0.6249,12,0.6124,0.7240,0.5581,0.6703,0.4533
sranjans/task6-sranjans-2,0.6651,24,0.8128,22,0.6366,8,0.6254,0.7538,0.5328,0.6649,0.5036
sranjans/task6-sranjans-3,0.5045,62,0.7846,52,0.5905,30,0.6167,0.7061,0.5666,0.5664,0.3968
tiantianzhu7/task6-tiantianzhu7-1,0.4533,72,0.7134,74,0.4192,73,0.4184,0.5630,0.2083,0.4822,0.2745
tiantianzhu7/task6-tiantianzhu7-2,0.4157,80,0.7099,79,0.3960,77,0.4260,0.5628,0.1546,0.4552,0.1923
tiantianzhu7/task6-tiantianzhu7-3,0.4446,74,0.7097,80,0.3740,81,0.3411,0.5946,0.1868,0.4029,0.1823
weiwei/task6-weiwei-run1?,0.6946,20,0.8303,10,0.6081,19,0.4106,0.8351,0.5128,0.7273,0.4383
yeh/task6-SRIUBC-SYSTEM1,0.7513,11,0.8017,40,0.5997,22,0.6084,0.7458,0.4688,0.6315,0.3994
yeh/task6-SRIUBC-SYSTEM2,0.7562,10,0.8111,24,0.5858,33,0.6050,0.7939,0.4294,0.5871,0.3366
yeh/task6-SRIUBC-SYSTEM3,0.6876,21,0.7812,54,0.4668,68,0.4791,0.7901,0.2159,0.3843,0.2801
ygutierrez/task6-UMCC_DLSI-MultiLex,0.6630,26,0.7922,46,0.5560,49,0.6022,0.7709,0.4435,0.4327,0.4264
ygutierrez/task6-UMCC_DLSI-MultiSem,0.6529,29,0.8115,23,0.6116,16,0.5269,0.7756,0.4688,0.6539,0.5470
ygutierrez/task6-UMCC_DLSI-MultiSemLex,0.7213,18,0.8239,14,0.6158,15,0.6205,0.8104,0.4325,0.6256,0.4340
yrkakde/task6-yrkakde-DiceWordnet,0.5977,50,0.7902,48,0.5742,39,0.5294,0.7470,0.5531,0.5698,0.3659
yrkakde/task6-yrkakde-JaccNERPenalty,0.6067,47,0.8078,31,0.5955,24,0.5757,0.7765,0.4989,0.6257,0.3468
