,sentence_0,sentence_1,score,dataset_name,tokens_0,tokens_1,lemmas_0,lemmas_1,sentence_lemmas_0,sentence_lemmas_1
10,The man accused of using fake grenades to commandeer a Cuban plane that landed in Key West in April was sentenced Friday to 20 years in prison.,A Cuban architect was sentenced to 20 years in prison Friday for using two fake grenades to hijack a passenger plane from Cuba to Florida in April.,4.4,MSRpar,"['The', 'man', 'accused', 'of', 'using', 'fake', 'grenades', 'to', 'commandeer', 'a', 'Cuban', 'plane', 'that', 'landed', 'in', 'Key', 'West', 'in', 'April', 'was', 'sentenced', 'Friday', 'to', '20', 'years', 'in', 'prison']","['A', 'Cuban', 'architect', 'was', 'sentenced', 'to', '20', 'years', 'in', 'prison', 'Friday', 'for', 'using', 'two', 'fake', 'grenades', 'to', 'hijack', 'a', 'passenger', 'plane', 'from', 'Cuba', 'to', 'Florida', 'in', 'April']","['the', 'man', 'accuse', 'of', 'use', 'fake', 'grenade', 'to', 'commandeer', 'a', 'cuban', 'plane', 'that', 'land', 'in', 'key', 'west', 'in', 'april', 'be', 'sentence', 'friday', 'to', '20', 'year', 'in', 'prison']","['a', 'cuban', 'architect', 'be', 'sentence', 'to', '20', 'year', 'in', 'prison', 'friday', 'for', 'use', 'two', 'fake', 'grenade', 'to', 'hijack', 'a', 'passenger', 'plane', 'from', 'cuba', 'to', 'florida', 'in', 'april']",the man accuse of use fake grenade to commandeer a cuban plane that land in key west in april be sentence friday to 20 year in prison,a cuban architect be sentence to 20 year in prison friday for use two fake grenade to hijack a passenger plane from cuba to florida in april
11,"Jim Williams, director of the US-VISIT project, said that by the middle of November, many arriving passengers in Atlanta will be fingerprinted and photographed.","Jim Williams, director of the US-VISIT project, said that by the middle of November, inspectors will be fingerprinting and photographing many foreign passengers arriving in Atlanta.",4.2,MSRpar,"['Jim', 'Williams', 'director', 'of', 'the', 'US-VISIT', 'project', 'said', 'that', 'by', 'the', 'middle', 'of', 'November', 'many', 'arriving', 'passengers', 'in', 'Atlanta', 'will', 'be', 'fingerprinted', 'and', 'photographed']","['Jim', 'Williams', 'director', 'of', 'the', 'US-VISIT', 'project', 'said', 'that', 'by', 'the', 'middle', 'of', 'November', 'inspectors', 'will', 'be', 'fingerprinting', 'and', 'photographing', 'many', 'foreign', 'passengers', 'arriving', 'in', 'Atlanta']","['jim', 'williams', 'director', 'of', 'the', 'us-visit', 'project', 'say', 'that', 'by', 'the', 'middle', 'of', 'november', 'many', 'arrive', 'passenger', 'in', 'atlanta', 'will', 'be', 'fingerprint', 'and', 'photograph']","['jim', 'williams', 'director', 'of', 'the', 'us-visit', 'project', 'say', 'that', 'by', 'the', 'middle', 'of', 'november', 'inspector', 'will', 'be', 'fingerprint', 'and', 'photograph', 'many', 'foreign', 'passenger', 'arrive', 'in', 'atlanta']",jim williams director of the us-visit project say that by the middle of november many arrive passenger in atlanta will be fingerprint and photograph,jim williams director of the us-visit project say that by the middle of november inspector will be fingerprint and photograph many foreign passenger arrive in atlanta
12,"The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.",The hearing came one day after the Pentagon for the first time singled out an officer - Dallager - for failing to address the scandal.,5.0,MSRpar,"['The', 'hearing', 'occurred', 'a', 'day', 'after', 'the', 'Pentagon', 'for', 'the', 'first', 'time', 'singled', 'out', 'an', 'officer', 'Dallager', 'for', 'not', 'addressing', 'the', 'scandal']","['The', 'hearing', 'came', 'one', 'day', 'after', 'the', 'Pentagon', 'for', 'the', 'first', 'time', 'singled', 'out', 'an', 'officer', 'Dallager', 'for', 'failing', 'to', 'address', 'the', 'scandal']","['the', 'hearing', 'occur', 'a', 'day', 'after', 'the', 'pentagon', 'for', 'the', 'first', 'time', 'single', 'out', 'an', 'officer', 'dallager', 'for', 'not', 'address', 'the', 'scandal']","['the', 'hearing', 'come', 'one', 'day', 'after', 'the', 'pentagon', 'for', 'the', 'first', 'time', 'single', 'out', 'an', 'officer', 'dallager', 'for', 'fail', 'to', 'address', 'the', 'scandal']",the hearing occur a day after the pentagon for the first time single out an officer dallager for not address the scandal,the hearing come one day after the pentagon for the first time single out an officer dallager for fail to address the scandal
13,"The Episcopal Church ''is alienating itself from the Anglican Communion,'' said the Very Rev. Peter Karanja, provost of the All Saints Cathedral, in Nairobi.","In Nairobi, the provost of All Saints Cathedral, the Very Reverend Peter Karanja, said the US Episcopal Church was alienating itself from the Anglican Communion.",5.0,MSRpar,"['The', 'Episcopal', 'Church', '``', 'is', 'alienating', 'itself', 'from', 'the', 'Anglican', 'Communion', ""''"", 'said', 'the', 'Very', 'Rev', 'Peter', 'Karanja', 'provost', 'of', 'the', 'All', 'Saints', 'Cathedral', 'in', 'Nairobi']","['In', 'Nairobi', 'the', 'provost', 'of', 'All', 'Saints', 'Cathedral', 'the', 'Very', 'Reverend', 'Peter', 'Karanja', 'said', 'the', 'US', 'Episcopal', 'Church', 'was', 'alienating', 'itself', 'from', 'the', 'Anglican', 'Communion']","['the', 'episcopal', 'church', '``', 'be', 'alienate', 'itself', 'from', 'the', 'anglican', 'communion', ""''"", 'say', 'the', 'very', 'rev', 'peter', 'karanja', 'provost', 'of', 'the', 'all', 'saint', 'cathedral', 'in', 'nairobi']","['in', 'nairobi', 'the', 'provost', 'of', 'all', 'saint', 'cathedral', 'the', 'very', 'reverend', 'peter', 'karanja', 'say', 'the', 'us', 'episcopal', 'church', 'be', 'alienate', 'itself', 'from', 'the', 'anglican', 'communion']",the episcopal church `` be alienate itself from the anglican communion '' say the very rev peter karanja provost of the all saint cathedral in nairobi,in nairobi the provost of all saint cathedral the very reverend peter karanja say the us episcopal church be alienate itself from the anglican communion
14,"Counties with population declines will be Vermillion, Posey and Madison.","Vermillion, Posey and Madison County populations will decline.",5.0,MSRpar,"['Counties', 'with', 'population', 'declines', 'will', 'be', 'Vermillion', 'Posey', 'and', 'Madison']","['Vermillion', 'Posey', 'and', 'Madison', 'County', 'populations', 'will', 'decline']","['county', 'with', 'population', 'decline', 'will', 'be', 'vermillion', 'posey', 'and', 'madison']","['vermillion', 'posey', 'and', 'madison', 'county', 'population', 'will', 'decline']",county with population decline will be vermillion posey and madison,vermillion posey and madison county population will decline
15,"Swartz, indicted in February, had argued that New Hampshire was the wrong place to charge him.","Swartz had sought to have the charges dismissed, saying New Hampshire was the wrong place to charge him.",3.4,MSRpar,"['Swartz', 'indicted', 'in', 'February', 'had', 'argued', 'that', 'New', 'Hampshire', 'was', 'the', 'wrong', 'place', 'to', 'charge', 'him']","['Swartz', 'had', 'sought', 'to', 'have', 'the', 'charges', 'dismissed', 'saying', 'New', 'Hampshire', 'was', 'the', 'wrong', 'place', 'to', 'charge', 'him']","['swartz', 'indict', 'in', 'february', 'have', 'argue', 'that', 'new', 'hampshire', 'be', 'the', 'wrong', 'place', 'to', 'charge', 'him']","['swartz', 'have', 'seek', 'to', 'have', 'the', 'charge', 'dismiss', 'say', 'new', 'hampshire', 'be', 'the', 'wrong', 'place', 'to', 'charge', 'him']",swartz indict in february have argue that new hampshire be the wrong place to charge him,swartz have seek to have the charge dismiss say new hampshire be the wrong place to charge him
16,"The last time the survey was conducted, in 1995, those numbers matched.","In 1995, the last survey, those numbers were equal.",5.0,MSRpar,"['The', 'last', 'time', 'the', 'survey', 'was', 'conducted', 'in', '1995', 'those', 'numbers', 'matched']","['In', '1995', 'the', 'last', 'survey', 'those', 'numbers', 'were', 'equal']","['the', 'last', 'time', 'the', 'survey', 'be', 'conduct', 'in', '1995', 'those', 'number', 'match']","['in', '1995', 'the', 'last', 'survey', 'those', 'number', 'be', 'equal']",the last time the survey be conduct in 1995 those number match,in 1995 the last survey those number be equal
17,Higher courts have ruled that the tablets broke the constitutional separation of church and state.,The federal courts have ruled that the monument violates the constitutional ban against state-established religion.,4.0,MSRpar,"['Higher', 'courts', 'have', 'ruled', 'that', 'the', 'tablets', 'broke', 'the', 'constitutional', 'separation', 'of', 'church', 'and', 'state']","['The', 'federal', 'courts', 'have', 'ruled', 'that', 'the', 'monument', 'violates', 'the', 'constitutional', 'ban', 'against', 'state-established', 'religion']","['high', 'court', 'have', 'rule', 'that', 'the', 'tablet', 'break', 'the', 'constitutional', 'separation', 'of', 'church', 'and', 'state']","['the', 'federal', 'court', 'have', 'rule', 'that', 'the', 'monument', 'violate', 'the', 'constitutional', 'ban', 'against', 'state-established', 'religion']",high court have rule that the tablet break the constitutional separation of church and state,the federal court have rule that the monument violate the constitutional ban against state-established religion
18,They were at Raffles Hospital over the weekend for further evaluation.,"They underwent more tests over the weekend, and are now warded at Raffles Hospital.",3.2,MSRpar,"['They', 'were', 'at', 'Raffles', 'Hospital', 'over', 'the', 'weekend', 'for', 'further', 'evaluation']","['They', 'underwent', 'more', 'tests', 'over', 'the', 'weekend', 'and', 'are', 'now', 'warded', 'at', 'Raffles', 'Hospital']","['they', 'be', 'at', 'raffle', 'hospital', 'over', 'the', 'weekend', 'for', 'further', 'evaluation']","['they', 'undergo', 'more', 'test', 'over', 'the', 'weekend', 'and', 'be', 'now', 'ward', 'at', 'raffle', 'hospital']",they be at raffle hospital over the weekend for further evaluation,they undergo more test over the weekend and be now ward at raffle hospital
19,"When the bomb exploded at the Casa de España, customers were eating dinner and playing bingo.","At the Casa de Espaa, customers were eating dinner and playing bingo when a bomb went off.",5.0,MSRpar,"['When', 'the', 'bomb', 'exploded', 'at', 'the', 'Casa', 'de', 'España', 'customers', 'were', 'eating', 'dinner', 'and', 'playing', 'bingo']","['At', 'the', 'Casa', 'de', 'Espaa', 'customers', 'were', 'eating', 'dinner', 'and', 'playing', 'bingo', 'when', 'a', 'bomb', 'went', 'off']","['when', 'the', 'bomb', 'explode', 'at', 'the', 'casa', 'de', 'españa', 'customer', 'be', 'eat', 'dinner', 'and', 'playing', 'bingo']","['at', 'the', 'casa', 'de', 'espaa', 'customer', 'be', 'eat', 'dinner', 'and', 'play', 'bingo', 'when', 'a', 'bomb', 'go', 'off']",when the bomb explode at the casa de españa customer be eat dinner and playing bingo,at the casa de espaa customer be eat dinner and play bingo when a bomb go off
20,Plofsky said the commission won't investigate because the three-year statute of limitations has expired.,"The panel will not begin a formal investigation because the statute of limitations has expired, Plofsky said.",4.4,MSRpar,"['Plofsky', 'said', 'the', 'commission', 'wo', ""n't"", 'investigate', 'because', 'the', 'three-year', 'statute', 'of', 'limitations', 'has', 'expired']","['The', 'panel', 'will', 'not', 'begin', 'a', 'formal', 'investigation', 'because', 'the', 'statute', 'of', 'limitations', 'has', 'expired', 'Plofsky', 'said']","['plofsky', 'say', 'the', 'commission', 'wo', ""n't"", 'investigate', 'because', 'the', 'three-year', 'statute', 'of', 'limitation', 'have', 'expire']","['the', 'panel', 'will', 'not', 'begin', 'a', 'formal', 'investigation', 'because', 'the', 'statute', 'of', 'limitation', 'have', 'expire', 'plofsky', 'say']",plofsky say the commission wo n't investigate because the three-year statute of limitation have expire,the panel will not begin a formal investigation because the statute of limitation have expire plofsky say
21,"In two weeks, he'll probably send out Peace Rules in the Preakness.",Frankel said Peace Rules will run in the Preakness Stakes on May 17.,3.6,MSRpar,"['In', 'two', 'weeks', 'he', ""'ll"", 'probably', 'send', 'out', 'Peace', 'Rules', 'in', 'the', 'Preakness']","['Frankel', 'said', 'Peace', 'Rules', 'will', 'run', 'in', 'the', 'Preakness', 'Stakes', 'on', 'May', '17']","['in', 'two', 'week', 'he', ""'ll"", 'probably', 'send', 'out', 'peace', 'rule', 'in', 'the', 'preakness']","['frankel', 'say', 'peace', 'rule', 'will', 'run', 'in', 'the', 'preakness', 'stake', 'on', 'may', '17']",in two week he 'll probably send out peace rule in the preakness,frankel say peace rule will run in the preakness stake on may 17
22,"If convicted of the spying charges, he could face the death penalty.",The charges of espionage and aiding the enemy can carry the death penalty.,3.6,MSRpar,"['If', 'convicted', 'of', 'the', 'spying', 'charges', 'he', 'could', 'face', 'the', 'death', 'penalty']","['The', 'charges', 'of', 'espionage', 'and', 'aiding', 'the', 'enemy', 'can', 'carry', 'the', 'death', 'penalty']","['if', 'convict', 'of', 'the', 'spying', 'charge', 'he', 'could', 'face', 'the', 'death', 'penalty']","['the', 'charge', 'of', 'espionage', 'and', 'aid', 'the', 'enemy', 'can', 'carry', 'the', 'death', 'penalty']",if convict of the spying charge he could face the death penalty,the charge of espionage and aid the enemy can carry the death penalty
23,"The technology-laced Nasdaq Composite Index was up 7.60 points, or 0.46 percent, at 1,653.62.","The broader Standard & Poor's 500 Index <.SPX> shed 2.38 points, or 0.24 percent, at 995.10.",0.8,MSRpar,"['The', 'technology-laced', 'Nasdaq', 'Composite', 'Index', 'was', 'up', '7.60', 'points', 'or', '0.46', 'percent', 'at', '1,653.62']","['The', 'broader', 'Standard', 'Poor', ""'s"", '500', 'Index', '.SPX', 'shed', '2.38', 'points', 'or', '0.24', 'percent', 'at', '995.10']","['the', 'technology-laced', 'nasdaq', 'composite', 'index', 'be', 'up', '7.60', 'point', 'or', '0.46', 'percent', 'at', '1,653.62']","['the', 'broad', 'standard', 'poor', ""'s"", '500', 'index', '.spx', 'shed', '2.38', 'point', 'or', '0.24', 'percent', 'at', '995.10']","the technology-laced nasdaq composite index be up 7.60 point or 0.46 percent at 1,653.62",the broad standard poor 's 500 index .spx shed 2.38 point or 0.24 percent at 995.10
24,Hilsenrath and Klarman each were indicted on three counts of securities fraud.,Klarman was charged with 16 counts of wire fraud.,1.4,MSRpar,"['Hilsenrath', 'and', 'Klarman', 'each', 'were', 'indicted', 'on', 'three', 'counts', 'of', 'securities', 'fraud']","['Klarman', 'was', 'charged', 'with', '16', 'counts', 'of', 'wire', 'fraud']","['hilsenrath', 'and', 'klarman', 'each', 'be', 'indict', 'on', 'three', 'count', 'of', 'security', 'fraud']","['klarman', 'be', 'charge', 'with', '16', 'count', 'of', 'wire', 'fraud']",hilsenrath and klarman each be indict on three count of security fraud,klarman be charge with 16 count of wire fraud
25,Entrenched interests are positioning themselves to control the network's chokepoints and they are lobbying the FCC to aid and abet them.,"It may be dying because entrenched interests are positioning themselves to control the Internet's choke-points and they are lobbying the FCC to aid and abet them.""",3.2,MSRpar,"['Entrenched', 'interests', 'are', 'positioning', 'themselves', 'to', 'control', 'the', 'network', ""'s"", 'chokepoints', 'and', 'they', 'are', 'lobbying', 'the', 'FCC', 'to', 'aid', 'and', 'abet', 'them']","['It', 'may', 'be', 'dying', 'because', 'entrenched', 'interests', 'are', 'positioning', 'themselves', 'to', 'control', 'the', 'Internet', ""'s"", 'choke-points', 'and', 'they', 'are', 'lobbying', 'the', 'FCC', 'to', 'aid', 'and', 'abet', 'them', ""''""]","['entrenched', 'interest', 'be', 'position', 'themselves', 'to', 'control', 'the', 'network', ""'s"", 'chokepoint', 'and', 'they', 'be', 'lobby', 'the', 'fcc', 'to', 'aid', 'and', 'abet', 'them']","['it', 'may', 'be', 'die', 'because', 'entrenched', 'interest', 'be', 'position', 'themselves', 'to', 'control', 'the', 'internet', ""'s"", 'choke-points', 'and', 'they', 'be', 'lobby', 'the', 'fcc', 'to', 'aid', 'and', 'abet', 'them', ""''""]",entrenched interest be position themselves to control the network 's chokepoint and they be lobby the fcc to aid and abet them,it may be die because entrenched interest be position themselves to control the internet 's choke-points and they be lobby the fcc to aid and abet them ''
26,But church members and observers say they expect that the decision could be problematic for many Episcopalians.,But church members and observers say they anticipate that the decision here could pose doctrinal problems for some Episcopalians who believe the Bible prohibits homosexuality.,3.8,MSRpar,"['But', 'church', 'members', 'and', 'observers', 'say', 'they', 'expect', 'that', 'the', 'decision', 'could', 'be', 'problematic', 'for', 'many', 'Episcopalians']","['But', 'church', 'members', 'and', 'observers', 'say', 'they', 'anticipate', 'that', 'the', 'decision', 'here', 'could', 'pose', 'doctrinal', 'problems', 'for', 'some', 'Episcopalians', 'who', 'believe', 'the', 'Bible', 'prohibits', 'homosexuality']","['but', 'church', 'member', 'and', 'observer', 'say', 'they', 'expect', 'that', 'the', 'decision', 'could', 'be', 'problematic', 'for', 'many', 'episcopalian']","['but', 'church', 'member', 'and', 'observer', 'say', 'they', 'anticipate', 'that', 'the', 'decision', 'here', 'could', 'pose', 'doctrinal', 'problem', 'for', 'some', 'episcopalian', 'who', 'believe', 'the', 'bible', 'prohibits', 'homosexuality']",but church member and observer say they expect that the decision could be problematic for many episcopalian,but church member and observer say they anticipate that the decision here could pose doctrinal problem for some episcopalian who believe the bible prohibits homosexuality
27,Squyres is principal investigator for the Athena payload - a collection of science instruments carted by each rover.,"Steve Squyres, a Cornell University scientist, is principal investigator for the missions' science instruments.",4.2,MSRpar,"['Squyres', 'is', 'principal', 'investigator', 'for', 'the', 'Athena', 'payload', 'a', 'collection', 'of', 'science', 'instruments', 'carted', 'by', 'each', 'rover']","['Steve', 'Squyres', 'a', 'Cornell', 'University', 'scientist', 'is', 'principal', 'investigator', 'for', 'the', 'missions', 'science', 'instruments']","['squyres', 'be', 'principal', 'investigator', 'for', 'the', 'athena', 'payload', 'a', 'collection', 'of', 'science', 'instrument', 'cart', 'by', 'each', 'rover']","['steve', 'squyres', 'a', 'cornell', 'university', 'scientist', 'be', 'principal', 'investigator', 'for', 'the', 'mission', 'science', 'instrument']",squyres be principal investigator for the athena payload a collection of science instrument cart by each rover,steve squyres a cornell university scientist be principal investigator for the mission science instrument
